ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-3238698	WNT ligand biogenesis and trafficking	6/162	18/7999	0.333333333333333	16.4588477366255	9.43969583030115	9.54745488106343e-07	0.000270670345878148	0.000258786277039351	WNT3A/WNT10B/WNT9A/WNT4/WNT2B/WNT1	6
R-HSA-3772470	Negative regulation of TCF-dependent signaling by WNT ligand antagonists	4/162	12/7999	0.333333333333333	16.4588477366255	7.70458381738277	7.06951654495338e-05	0.0130295826950194	0.012457505036545	WNT3A/WNT9A/WNT4/DKK1	4
R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors	5/162	32/7999	0.15625	7.71508487654321	5.47207915261752	0.000414344278475153	0.0391555343159019	0.0374363690201235	GRIN2C/TUBB4A/GRIN2B/GRIN3A/DLG2	5
R-HSA-112316	Neuronal System	15/162	278/7999	0.0539568345323741	2.66420197175593	4.06036371174399	0.000492442327077826	0.0398878284933039	0.038136511044373	ABAT/GNG4/KCNMB4/GRIN2C/TUBB4A/GRIN2B/GLRB/ERBB4/KCNA1/LRRTM4/RASGRF2/GRIN3A/DLG2/KCNB2/SLITRK6	15
