ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0051174	regulation of phosphorus metabolic process	38/498	456/12060	0.0833333333333333	2.01807228915663	4.59950414190181	2.94383158600817e-05	0.000499509343513867	0.000355243003178923	PRR5L/PIM1/SFRP1/KIT/IGFBP3/SPRY2/PDGFB/FAM20C/XBP1/FGF18/SFN/APLN/PDGFA/TRIB2/THBS1/KDR/TNFSF15/NRG1/ACSL3/TRIB1/FLT1/GPRC5A/DUSP7/THY1/GADD45A/ADCYAP1R1/VEGFA/TRIB3/CARD10/PRKAG2/PID1/LDLR/DUSP1/ME1/SRPX2/PLAUR/DDR2/LIF	38
GO:2000628	regulation of miRNA metabolic process	12/498	71/12060	0.169014084507042	4.09299168505006	5.4246320204642	2.98570830264963e-05	0.00050459659839999	0.000358860976950885	PDGFB/EGR1/KLF4/APLN/GATA3/TWIST1/VEGFA/MYC/FOSL1/FOS/TGFB1/TGFB2	12
GO:0048010	vascular endothelial growth factor receptor signaling pathway	10/498	50/12060	0.2	4.8433734939759	5.65171073287625	3.05095036845904e-05	0.000511546698142421	0.000363803775993493	XBP1/FGF18/FOXC1/FOXC2/KDR/FLT1/PGF/VEGFA/EMILIN1/VEGFC	10
GO:1903036	positive regulation of response to wounding	10/498	50/12060	0.2	4.8433734939759	5.65171073287625	3.05095036845904e-05	0.000511546698142421	0.000363803775993493	CLDN4/FERMT1/XBP1/F3/FOXC2/SMOC2/THBS1/DDR2/EMILIN1/HBEGF	10
GO:0042325	regulation of phosphorylation	31/498	341/12060	0.0909090909090909	2.20153340635268	4.67112617903327	3.16036188543041e-05	0.000527805319606133	0.000375366645820288	PRR5L/PIM1/SFRP1/KIT/IGFBP3/SPRY2/PDGFB/XBP1/FGF18/SFN/APLN/PDGFA/TRIB2/THBS1/KDR/TNFSF15/NRG1/TRIB1/FLT1/GPRC5A/DUSP7/THY1/GADD45A/VEGFA/TRIB3/CARD10/DUSP1/SRPX2/PLAUR/DDR2/LIF	31
GO:0002027	regulation of heart rate	12/498	72/12060	0.166666666666667	4.03614457831325	5.36252297564482	3.45095018914163e-05	0.000574075713817208	0.000408273405245817	SCN5A/ADM2/APLN/EDN1/KCNE3/EPAS1/IRX5/ADM/ADA/SPX/SLC8A1/CAV1	12
GO:0001837	epithelial to mesenchymal transition	18/498	147/12060	0.122448979591837	2.96533071059749	4.97550965684942	3.47768511412163e-05	0.000576263291175935	0.000409829175044103	SPRY1/SFRP1/SPRY2/GCNT2/FOXC1/EDN1/GATA3/SPRED3/TWIST1/VEGFA/SP6/GSC/TBX3/JAG1/S100A4/TGFB1/TGFB2/HEY1	18
GO:0007610	behavior	40/498	494/12060	0.0809716599190283	1.96087995707526	4.52579472049476	3.49556351818479e-05	0.000576972001717504	0.000410333198571272	THRB/NPTX2/LRRN4/ABTB3/KIT/UCK2/EGR1/CEBPA/CCND2/KCNQ3/ADM2/NPAS2/APLN/THBS1/SLC1A3/SHANK2/GPR176/MEIS2/NETO1/GABRA5/GLS/KCNK2/ADA/OPRD1/CEBPB/COMT/ETV5/GDF15/SLC8A2/LDLR/SRPX2/ITPR3/SLC7A11/CLSTN2/CXCL12/FZD9/FOS/NR4A3/NR1D1/ITGA3	40
GO:1903131	mononuclear cell differentiation	31/498	343/12060	0.0903790087463557	2.18869647686958	4.63514854774525	3.53697076257229e-05	0.000581543797474095	0.000413584586109024	FZD8/SFRP1/ST3GAL1/KIT/EGR1/CEBPA/F2RL1/VSIR/XBP1/ITPRIPL1/GATA3/PRDM1/TRIB1/HDAC9/IL4R/FOSL2/ADA/CEBPB/TLR4/VEGFA/RUNX1/MYC/CARD11/FZD9/FOS/TGFB1/LIF/RUNX2/FZD5/LTBR/JAK3	31
GO:0035148	tube formation	17/498	134/12060	0.126865671641791	3.07228915662651	5.00621143229476	3.61661560628513e-05	0.000592342988488862	0.000421264796895476	SPINT1/MTHFD1L/SFRP1/IRX2/ST14/IRX3/RET/EDA/GATA3/ADM/TWIST1/LHX2/VEGFA/DLC1/SIX1/TGFB1/TGFB2	17
GO:0070509	calcium ion import	10/498	51/12060	0.196078431372549	4.74840538625089	5.56713887770934	3.65693439646765e-05	0.00059435692374773	0.00042269707522792	PDGFB/ITPRIPL1/STC1/SLC8A2/TRPV4/NALF2/LGALS3/SLC8A1/DDIT3/CXCL12	10
GO:2000630	positive regulation of miRNA metabolic process	10/498	51/12060	0.196078431372549	4.74840538625089	5.56713887770934	3.65693439646765e-05	0.00059435692374773	0.00042269707522792	PDGFB/EGR1/KLF4/APLN/GATA3/MYC/FOSL1/FOS/TGFB1/TGFB2	10
GO:0141091	transforming growth factor beta receptor superfamily signaling pathway	27/498	280/12060	0.0964285714285714	2.33519793459553	4.69143667668729	3.69902140282057e-05	0.000598902625601712	0.00042592990520224	NBL1/MICOS10-NBL1/NPNT/CDH3/SPRY1/SFRP1/FERMT1/SPRY2/GCNT2/EGR1/CCN1/XBP1/THBS1/KDR/SPRED3/GDF15/TMEM119/LRRC32/CAV2/CRIM1/EMILIN1/FOS/TGFB1/RUNX2/CAV1/TGFB2/ITGA3	27
GO:0009410	response to xenobiotic stimulus	27/498	281/12060	0.096085409252669	2.32688762166102	4.67075328738615	3.9375899894421e-05	0.000635104818829407	0.000451676322182953	LRP8/SFRP1/CYP2S1/DUSP6/CEBPA/KCNQ3/NPAS2/FUT1/THBS1/SLC1A3/EDN1/GATA3/GABRG3/ABCC3/FOSL2/WNK4/ADA/NKX3-1/COMT/ADCYAP1R1/MYC/GCLM/VEGFC/FOS/TGFB1/CYP1B1/ITGA3	27
GO:2001233	regulation of apoptotic signaling pathway	29/498	313/12060	0.0926517571884984	2.24373532468532	4.62690401549659	4.01912404894917e-05	0.00064578223331422	0.000459269927461861	SIAH2/SFRP1/KLF4/XBP1/THBS1/TNFSF15/NRG1/UNC5B/RET/HERPUD1/YBX3/LTB/CTSC/PYCR1/NKX3-1/TLR4/PMAIP1/LGALS3/MYC/GCLM/BID/PLAUR/DDIT3/CXCL12/FZD9/CAV1/HMOX1/TGFB2/LTBR	29
GO:2001026	regulation of endothelial cell chemotaxis	6/498	17/12060	0.352941176470588	8.54712969525159	6.46238409913145	4.03423601669657e-05	0.00064578223331422	0.000459269927461861	FGF18/SMOC2/THBS1/KDR/VEGFA/SEMA5A	6
GO:0002042	cell migration involved in sprouting angiogenesis	10/498	52/12060	0.192307692307692	4.65708989805375	5.48473696750558	4.36287050256478e-05	0.00069315717872209	0.000492962225915658	JCAD/KLF4/FOXC2/THBS1/KDR/HDAC9/VEGFA/CARD10/SRPX2/HMOX1	10
