ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0001539	cilium or flagellum-dependent cell motility	122	-0.557549455534177	-2.5112445232129	9.4004884845915e-13	3.92361927056873e-10	3.24716468625646e-10	2842	tags=57%, list=20%, signal=46%	8701/64147/29922/79645/92749/25911/28981/84229/57821/151651/9576/138162/126075/129881/84071/55779/221421/54970/79582/8632/582/54777/200373/345895/642987/115948/25809/145508/389799/54585/10566/91978/64800/220136/57639/84223/85478/22994/401024/80127/26140/154865/55036/1770/144535/84074/27285/134121/90506/158787/126820/219681/80258/283629/80217/25790/1768/338/5991/164395/55870/11092/7802/2622/7846/23639/56171/79925/585
GO:0060285	cilium-dependent cell motility	122	-0.557549455534177	-2.5112445232129	9.4004884845915e-13	3.92361927056873e-10	3.24716468625646e-10	2842	tags=57%, list=20%, signal=46%	8701/64147/29922/79645/92749/25911/28981/84229/57821/151651/9576/138162/126075/129881/84071/55779/221421/54970/79582/8632/582/54777/200373/345895/642987/115948/25809/145508/389799/54585/10566/91978/64800/220136/57639/84223/85478/22994/401024/80127/26140/154865/55036/1770/144535/84074/27285/134121/90506/158787/126820/219681/80258/283629/80217/25790/1768/338/5991/164395/55870/11092/7802/2622/7846/23639/56171/79925/585
GO:0001525	angiogenesis	411	0.423306426128194	2.02764765175072	1.16125186337172e-12	4.50068043618212e-10	3.72473717980735e-10	3757	tags=46%, list=27%, signal=35%	3099/8325/9723/22846/57608/6422/161742/10266/27161/3164/10253/5155/5534/91010/2041/147372/79924/4879/3491/9314/2247/7494/8817/2523/7039/9394/8862/2152/5154/90268/2296/2303/64094/7057/441478/1490/3791/219699/1906/51162/140862/154810/58504/25932/2034/80155/5743/2637/9255/25865/9734/8038/56913/133/116150/2321/1969/9451/5228/7291/7070/23554/4851/5230/1647/7422/6095/5777/6301/29775/79602/7342/11061/4881/79625/182/861/2324/6789/27286/290/2534/23129/25817/5747/6303/688/7045/25960/11117/30844/7424/9378/7453/4211/1942/506/9037/4162/7040/7410/7855/2004/1545/857/3162/51129/576/7042/23462/387/8091/11235/4691/1499/1003/64344/5176/2050/493/4897/5335/3688/2828/51564/26051/2049/3678/5054/7075/10014/14/10769/90993/7082/90/83605/2022/54922/5921/8751/4627/1295/2013/3091/2113/221981/1432/4323/1317/56005/4313/10451/51330/2047/5293/7474/5579/5159/3953/11252/101/22905/1893/958/79812/4780/5740/1909/7058/57556/57142/1464/28514/23210/7052/154796/116844/306/2683/6722/1012/2876/9510/6461/2260/9289/80149/1944/25/1282
GO:0035082	axoneme assembly	72	-0.64882400815593	-2.65556228688443	1.31453669738897e-12	4.75511741335502e-10	3.93530775513076e-10	2752	tags=68%, list=19%, signal=55%	89765/79645/1641/92749/89876/79989/84229/9576/27148/138162/23116/84071/6674/55779/221421/54970/79582/8632/352909/54777/54768/345895/115948/25809/79864/91978/57639/84223/85478/22994/401024/80127/26140/55036/27285/90506/136332/2302/200162/126820/23059/80217/79819/11092/2622/23639/56171/79925/57545
GO:0048514	blood vessel morphogenesis	479	0.404707718596579	1.96142299041118	2.84160640599993e-12	9.63659772434728e-10	7.97519271578666e-10	3757	tags=44%, list=27%, signal=33%	3099/10052/4643/4041/8325/9723/22846/57608/6422/161742/10266/27161/3164/10253/5155/5534/91010/2041/147372/79924/4879/3491/9314/2247/7494/8817/2523/7039/9394/8862/2152/5154/90268/2296/2303/64094/7057/441478/1490/3791/219699/1906/51162/140862/154810/58504/639/25932/2034/80155/5743/2637/9255/25865/9734/8038/56913/133/116150/3280/2321/1969/9451/5228/7291/7070/23554/4851/5230/1647/7422/6095/5777/6301/29775/79602/7342/11061/4881/3949/79625/182/861/2324/6789/27286/290/2534/23129/25817/5747/6495/6303/3037/5906/688/7045/25960/11117/6659/30844/7424/8879/9378/7453/4211/1942/506/9037/581/4162/7040/7410/7855/2004/1545/857/3162/51129/4734/576/7042/23462/387/8091/11235/4691/4638/1499/1003/7477/64344/5176/2050/493/4897/5335/3688/2828/51564/26051/2049/3678/5054/7075/10014/14/10769/90993/7082/90/83605/2022/54922/5921/8751/4627/1295/2013/3091/2113/221981/1432/4323/1317/56005/4313/10451/51330/2047/4015/5293/284217/7474/5579/5159/3953/11252/101/22905/1893/958/79812/2138/4780/5740/1909/7058/57556/57142/1464/28514/23210/7052/154796/116844/306/2683/6722/1012/2876/9510/6461/2260/9289/80149/3726/1944/25/1282
GO:0060294	cilium movement involved in cell motility	119	-0.556457508024767	-2.50711199811416	3.35293752930232e-12	1.07017876670555e-09	8.85673777090011e-10	2842	tags=56%, list=20%, signal=45%	8701/64147/29922/79645/92749/25911/28981/84229/57821/151651/9576/138162/126075/129881/84071/55779/221421/54970/79582/8632/582/54777/200373/345895/642987/115948/25809/145508/389799/54585/10566/91978/64800/220136/57639/84223/22994/401024/80127/26140/154865/55036/1770/144535/84074/27285/134121/90506/158787/126820/219681/80258/283629/80217/25790/1768/338/164395/55870/11092/7802/2622/7846/23639/56171/79925/585
GO:0042273	ribosomal large subunit biogenesis	67	0.679851187681462	2.54508467800531	6.78688154709975e-12	2.04586773747574e-09	1.69314834385541e-09	2384	tags=55%, list=17%, signal=46%	23246/54680/55759/84154/51187/55003/9875/6154/84549/23481/26155/4869/2971/51491/55319/23560/6152/6165/8886/11224/6129/51388/23212/54475/285855/3692/9045/54663/55299/10969/6135/51018/6125/6130/57696/54955/80135
GO:0030490	maturation of SSU-rRNA	53	0.724194391748455	2.57959977584769	1.1329586133976e-11	3.23549128226074e-09	2.67767393061174e-09	2755	tags=72%, list=19%, signal=58%	10885/55813/4809/92856/23160/83732/25879/55127/10799/705/23212/85395/27042/9277/161424/28987/6227/6208/10607/153443/55272/11157/55720/9790/84916/10199/6217/51406/6234/8602/57647/6223/10171/6202/27340/2068/55226/57050
GO:0006457	protein folding	192	0.495627954746629	2.18314199762467	1.25526575829213e-10	3.40553600224655e-08	2.81840196046012e-08	2952	tags=39%, list=21%, signal=31%	10575/1676/3329/2288/2289/26973/10131/10598/22948/6950/10694/3327/134218/3326/5481/134266/10728/3312/10574/10808/9093/4879/3313/3336/5478/10576/391634/23386/7203/8882/10961/3304/9530/908/9141/169714/3998/5202/3337/10726/7411/8872/2280/151194/10525/3303/10105/10294/3309/9403/642489/10450/1457/9131/54431/23753/3306/11140/3308/81567/26278/80273/7184/3320/10130/55768/10954/9601/27000/30001/5611/7456/9531/51726/90624
GO:0097722	sperm motility	107	-0.547037067662514	-2.39998830182936	1.97768111683967e-10	5.10995130474859e-08	4.22896623781354e-08	2842	tags=55%, list=20%, signal=44%	8701/64147/29922/79645/92749/25911/28981/84229/57821/151651/9576/138162/126075/129881/84071/55779/54970/79582/200373/114827/642987/115948/25809/145508/389799/54585/10566/91978/64800/220136/57639/84223/22994/401024/80127/26140/154865/55036/144535/84074/27285/134121/90506/158787/219681/80258/283629/80217/25790/338/164395/55870/11092/7802/2622/7846/23639/79925/585
