ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-373080	Class B/2 (Secretin family receptors)	9/162	47/7999	0.191489361702128	9.45508274231678	8.35799080584067	3.2351187856885e-07	0.000183431235148538	0.000175377492066271	WNT3A/WNT10B/FZD10/FZD1/GNG4/WNT9A/WNT4/WNT2B/WNT1	9
R-HSA-3238698	WNT ligand biogenesis and trafficking	6/162	18/7999	0.333333333333333	16.4588477366255	9.43969583030115	9.54745488106343e-07	0.000270670345878148	0.000258786277039351	WNT3A/WNT10B/WNT9A/WNT4/WNT2B/WNT1	6
R-HSA-3772470	Negative regulation of TCF-dependent signaling by WNT ligand antagonists	4/162	12/7999	0.333333333333333	16.4588477366255	7.70458381738277	7.06951654495338e-05	0.0130295826950194	0.012457505036545	WNT3A/WNT9A/WNT4/DKK1	4
R-HSA-500792	GPCR ligand binding	11/162	136/7999	0.0808823529411765	3.99369099491649	5.06238966803007	9.19194546385847e-05	0.0130295826950194	0.012457505036545	WNT3A/WNT10B/FZD10/FZD1/GNG4/WNT9A/UTS2R/WNT4/C5AR1/WNT2B/WNT1	11
R-HSA-9834899	Specification of the neural plate border	4/162	15/7999	0.266666666666667	13.1670781893004	6.78101879542102	0.000185892854546739	0.0210802497056002	0.0201546989666464	PAX3/WNT3A/ZIC1/MSX1	4
R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors	5/162	32/7999	0.15625	7.71508487654321	5.47207915261752	0.000414344278475153	0.0391555343159019	0.0374363690201235	GRIN2C/TUBB4A/GRIN2B/GRIN3A/DLG2	5
R-HSA-112316	Neuronal System	15/162	278/7999	0.0539568345323741	2.66420197175593	4.06036371174399	0.000492442327077826	0.0398878284933039	0.038136511044373	ABAT/GNG4/KCNMB4/GRIN2C/TUBB4A/GRIN2B/GLRB/ERBB4/KCNA1/LRRTM4/RASGRF2/GRIN3A/DLG2/KCNB2/SLITRK6	15
