source	pathway	NES	padj	entrez	symbol
GO_BP	cilium assembly	-1.62428794932529	0.000904427745702281	80127	BBOF1
GO_BP	cilium assembly	-1.62428794932529	0.000904427745702281	317662	FAM149B1
GO_BP	cilium assembly	-1.62428794932529	0.000904427745702281	1756	DMD
GO_BP	cilium assembly	-1.62428794932529	0.000904427745702281	84984	CEP19
GO_BP	cilium assembly	-1.62428794932529	0.000904427745702281	10233	LRRC23
GO_BP	cilium assembly	-1.62428794932529	0.000904427745702281	79867	TCTN2
GO_BP	cilium assembly	-1.62428794932529	0.000904427745702281	9657	IQCB1
GO_BP	cilium assembly	-1.62428794932529	0.000904427745702281	401024	FSIP2
GO_BP	cilium assembly	-1.62428794932529	0.000904427745702281	1874	E2F4
GO_BP	cilium assembly	-1.62428794932529	0.000904427745702281	84314	TMEM107
